14-PC WISE DISTRIBUTION OF VOTES POLLED,,,,,,,,,,,,,,,,,
State/UT,Sl. No.,PC No.,PC NAME,ELECTORS,,Valid Votes Polled,,NOTA,,,Rejected/Not Retrived Votes,,Total Voters,Tendered Votes,Test Votes,Voter Turn Out(%),% Votes to NOTA Out of Total Votes Polled
,,,,General,Service,EVM,Postal,EVM,Postal,Total,EVM,Postal,,,,,
Uttar Pradesh,376,22,Etah,1700524,3411,1002464,2761,5145,11,5156,924,315,1011620,1,0,59.37,0.51
Uttar Pradesh,377,23,Badaun,2008758,1546,1082109,1093,8553,9,8562,1290,496,1093550,0,0,54.4,0.78
Uttar Pradesh,378,24,Aonla,1891713,1909,1079277,2761,6843,15,6858,613,553,1090062,0,0,57.56,0.63
Uttar Pradesh,379,25,Bareilly,1924434,1733,1110239,3059,6226,34,6260,411,336,1120305,0,0,58.16,0.56
Uttar Pradesh,380,26,Pilibhit,1831699,2262,1149253,4953,6714,27,6741,0,288,1161235,0,0,63.32,0.58
Uttar Pradesh,381,27,Shahjahanpur (SC),2331834,1309,1235136,4276,8449,41,8490,0,845,1248747,0,0,53.52,0.68
Uttar Pradesh,382,28,Kheri,1870170,1054,1201895,3533,7915,16,7931,0,184,1213543,4,0,64.85,0.65
Uttar Pradesh,383,29,Dhaurahra,1719345,634,1102359,2344,7133,11,7144,0,221,1112068,1,0,64.66,0.64
Uttar Pradesh,384,30,Sitapur,1759943,424,1093872,1185,6954,4,6958,437,273,1102725,0,0,62.64,0.63
Uttar Pradesh,385,31,Hardoi (SC),1910485,1294,1088544,2758,8778,36,8814,1570,384,1102070,0,0,57.65,0.8
Uttar Pradesh,386,32,Misrikh (SC),1878195,1603,1041154,2800,7997,32,8029,400,375,1052758,0,0,56,0.76
Uttar Pradesh,387,33,Unnao,2341740,3103,1288572,4246,9430,23,9453,568,712,1303551,2,0,55.59,0.73
Uttar Pradesh,388,34,Mohanlalganj (SC),2187232,2634,1365640,2946,8838,28,8866,1395,511,1379358,1,0,62.99,0.64
Uttar Pradesh,389,35,Lucknow,2172171,1782,1125943,3599,7316,34,7350,2496,834,1140222,0,0,52.45,0.64
Uttar Pradesh,390,36,Rae Bareli,1784314,4417,1028783,2564,7861,11,7872,0,732,1039951,0,0,58.14,0.76
Uttar Pradesh,391,37,Amethi,1796098,2617,967308,3980,9371,12,9383,0,212,980883,0,0,54.53,0.96
Uttar Pradesh,392,38,Sultanpur,1852590,3012,1021679,3195,8500,13,8513,0,744,1034131,0,0,55.73,0.82
Uttar Pradesh,393,39,Pratapgarh,1833312,3436,940435,3962,2869,22,2891,0,98,947386,0,0,51.58,0.31
Uttar Pradesh,394,40,Farrukhabad,1747182,4803,1027434,1995,4350,15,4365,350,900,1035044,0,0,59.08,0.42
Uttar Pradesh,395,41,Etawah (SC),1828498,5991,1024392,3126,6229,37,6266,0,370,1034154,0,0,56.37,0.61
Uttar Pradesh,396,42,Kannauj,1988925,4691,1209480,3535,4805,13,4818,796,342,1218971,0,0,61.14,0.4
Uttar Pradesh,397,43,Kanpur,1662859,1935,877994,5285,4048,69,4117,0,552,887948,0,0,53.34,0.46
Uttar Pradesh,398,44,Akbarpur,1869167,6745,1072295,7009,7523,126,7649,0,1036,1087989,0,0,58,0.7
Uttar Pradesh,399,45,Jalaun (SC),2006161,4422,1115828,1967,11138,16,11154,0,259,1129208,0,0,56.16,0.99
Uttar Pradesh,400,46,Jhansi,2161221,1183,1363517,1687,15290,12,15302,657,213,1381376,0,0,63.88,1.11
Uttar Pradesh,401,47,Hamirpur,1839761,1843,1100326,1520,13442,11,13453,1245,364,1116908,1,0,60.65,1.2
Uttar Pradesh,402,48,Banda,1747425,1609,1029705,1192,13226,9,13235,447,322,1044901,2,0,59.74,1.27
Uttar Pradesh,403,49,Fatehpur,1938563,4034,1097364,1460,8108,12,8120,2269,146,1109359,0,0,57.11,0.73
Uttar Pradesh,404,50,Kaushambi (SC),1909620,2916,994969,1393,12958,9,12967,0,780,1010109,0,0,52.82,1.28
Uttar Pradesh,405,51,Phulpur,2067043,4493,1006175,3182,5452,15,5467,0,208,1015032,0,0,49,0.54
Uttar Pradesh,406,52,Allahabad,1825730,2429,935197,1851,9949,3,9952,943,313,948256,0,0,51.87,1.05
Uttar Pradesh,407,53,Barabanki (SC),1918491,791,1280161,2252,8220,1,8221,0,329,1290963,0,0,67.26,0.64
Uttar Pradesh,408,54,Faizabad,1927459,1940,1131565,1560,7529,7,7536,588,440,1141689,0,0,59.17,0.66
Uttar Pradesh,409,55,Ambedkar Nagar,1911297,2459,1167243,2371,7429,19,7448,2315,631,1180008,0,0,61.66,0.63
Uttar Pradesh,410,56,Baharaich (SC),1838684,597,1043317,385,12862,2,12864,0,27,1056593,0,0,57.45,1.22
Uttar Pradesh,411,57,Kaiserganj,1904726,1306,1045895,1317,14872,15,14887,0,206,1062305,0,0,55.73,1.4
Uttar Pradesh,412,58,Shrawasti,1980381,362,1036130,526,9872,0,9872,0,105,1046633,0,0,52.84,0.94
Uttar Pradesh,413,59,Gonda,1843121,752,942544,1285,9048,7,9055,0,418,953302,0,0,51.7,0.95
Uttar Pradesh,414,60,Domariyaganj,1961845,360,1006752,2766,9431,16,9447,3413,207,1022585,0,0,52.11,0.92
Uttar Pradesh,415,61,Basti,1902898,1945,1069680,5429,7742,19,7761,1046,861,1084777,6,0,56.95,0.72
