Sno,Name (Party),Total Assets in Lok Sabha 2024,Total Assets in Lok Sabha 2019,Asset Increase,% Increase in Asset,Remarks
187,Hemant Tukaram Godse (Shiv Sena),"16,73,04,78816 Crore+","14,68,69,99614 Crore+","2,04,34,7922 Crore+",14%,PAN is DifferentParty in last election was SHS
188,Ashok Mahadeorao Nete (BJP),"7,05,53,8737 Crore+","5,01,36,3695 Crore+","2,04,17,5042 Crore+",41%,
190,Shyam Singh Yadav (BSP),"16,09,93,07416 Crore+","14,07,17,62014 Crore+","2,02,75,4542 Crore+",14%,Age Difference=2
191,Dilip Saikia (BJP),"2,64,42,9312 Crore+","62,06,28662 Lacs+","2,02,36,6452 Crore+",326%,
192,Jugal Kishore (BJP),"7,63,78,9427 Crore+","5,64,81,8015 Crore+","1,98,97,1411 Crore+",35%,
193,Kuldeep Rai Sharma (INC),"15,20,41,36915 Crore+","13,22,33,01213 Crore+","1,98,08,3571 Crore+",15%,
194,Gopal Jee Thakur (BJP),"3,90,78,8303 Crore+","1,93,01,8081 Crore+","1,97,77,0221 Crore+",102%,
195,Raja A (DMK),"6,93,62,1706 Crore+","4,95,91,0244 Crore+","1,97,71,1461 Crore+",40%,
196,K Muraleedharan (INC),"13,40,95,49113 Crore+","11,43,79,34011 Crore+","1,97,16,1511 Crore+",17%,
197,Topon Kumar Gogoi (BJP),"3,22,98,1393 Crore+","1,25,97,4611 Crore+","1,97,00,6781 Crore+",156%,
199,Arjun Singh (BJP),"2,74,76,9862 Crore+","80,55,69180 Lacs+","1,94,21,2951 Crore+",241%,
200,Rajkumar Chahar (BJP),"3,41,76,6123 Crore+","1,48,54,2471 Crore+","1,93,22,3651 Crore+",130%,
201,Dushyant Singh (BJP),"38,93,08,54038 Crore+","37,04,32,37337 Crore+","1,88,76,1671 Crore+",5%,
202,Venkatesan S (CPI(M)),"2,05,36,6392 Crore+","18,11,45618 Lacs+","1,87,25,1831 Crore+",1034%,
203,Mukesh Rajput (BJP),"9,36,80,8409 Crore+","7,49,64,5017 Crore+","1,87,16,3391 Crore+",25%,
204,Mansukhbhai Dhanjibhai Vasava (BJP),"2,54,99,8082 Crore+","68,35,95768 Lacs+","1,86,63,8511 Crore+",273%,
